filename,total_loss,loss_cls,loss_bbox,loss_offset,loss_dir,loss_attr
n008-2018-08-30-15-16-55-0400__CAM_BACK_RIGHT__1535657111628113.jpg,187.20677918265574,0.15806902945041656,0.0,184.0131072998047,1.843443512916565,0.005036167800426483
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657122647405.jpg,186.81225279497448,0.11075834184885025,0.0,183.99452209472656,0.00896324310451746,2.025397777557373
n015-2018-10-02-10-50-40+0800__CAM_FRONT_RIGHT__1538448763020339.jpg,186.2252095199874,0.025954434648156166,0.0,183.82977294921875,7.885952800279483e-05,0.5542039275169373
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657122147405.jpg,181.63987331511453,0.11024309694766998,0.0,178.7968292236328,0.01550253201276064,1.9644253253936768
n015-2018-11-21-19-38-26+0800__CAM_BACK_LEFT__1542800989947423.jpg,180.69021798670292,0.2552776336669922,0.0,177.10658264160156,0.8872361183166504,0.4459145963191986
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385102447405.jpg,179.72302005277015,0.062184784561395645,0.0,178.87130737304688,0.0028664516285061836,0.004276425112038851
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385094147405.jpg,179.62328402475396,0.0058120619505643845,0.0,178.92913818359375,4.7973691835068166e-05,0.002989425091072917
n015-2018-10-02-10-50-40+0800__CAM_FRONT_RIGHT__1538448762520347.jpg,179.2677143793553,0.017431898042559624,0.0,175.96238708496094,1.2096326351165771,0.12164147943258286
n008-2018-08-27-11-48-51-0400__CAM_FRONT_LEFT__1535385103904799.jpg,178.26469415979227,0.034016016870737076,0.0,176.75192260742188,0.00014722364721819758,0.8934447169303894
n008-2018-08-27-11-48-51-0400__CAM_FRONT_LEFT__1535385093604799.jpg,177.43877724000777,0.10767249017953873,0.0,175.81849670410156,0.0003841527795884758,8.859367517288774e-05
n008-2018-08-30-15-16-55-0400__CAM_FRONT_LEFT__1535657128104799.jpg,177.13389828102663,0.14950843155384064,0.0,176.0657196044922,0.002644117921590805,0.12584951519966125
n008-2018-08-30-15-16-55-0400__CAM_FRONT_LEFT__1535657128104799.jpg,177.13389828102663,0.14950843155384064,0.0,176.0657196044922,0.002644117921590805,0.12584951519966125
n008-2018-08-30-15-16-55-0400__CAM_FRONT_LEFT__1535657127604799.jpg,175.06798896135297,0.15017585456371307,0.0,173.997314453125,0.00343876495026052,0.11953544616699219
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385095947405.jpg,174.0014744164655,0.07317513972520828,0.0,172.9792022705078,0.007089689373970032,0.0014366436516866088
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385095947405.jpg,174.0014744164655,0.07317513972520828,0.0,172.9792022705078,0.007089689373970032,0.0014366436516866088
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385104947405.jpg,172.97168286610395,0.11020326614379883,0.0,171.85614013671875,0.0894942507147789,0.020690590143203735
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657124147405.jpg,169.0562574379437,0.08440432697534561,0.0,168.11643981933594,0.0032316420692950487,0.04545123130083084
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489315447405.jpg,168.14519363560248,0.2174796462059021,0.0,166.48843383789062,0.04555754363536835,0.29087916016578674
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657128147405.jpg,167.24579362600343,0.0816383883357048,0.0,166.36033630371094,0.002900974126532674,0.05086984112858772
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657125647405.jpg,166.52477446687408,0.08541681617498398,0.0,165.58827209472656,0.00305861234664917,0.05743491277098656
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489310397405.jpg,166.50487327796873,0.19561520218849182,0.0,164.82861328125,0.047071006149053574,0.3101886808872223
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385096897405.jpg,166.23999650290352,0.05611546337604523,0.0,165.5288543701172,0.0004651879717130214,0.0048189591616392136
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489305947405.jpg,165.99802659999114,0.2067209780216217,0.0,164.347412109375,0.0455891489982605,0.290869802236557
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489300047405.jpg,165.99128109356388,0.21664364635944366,0.0,164.31890869140625,0.05818554759025574,0.2658168077468872
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489300547405.jpg,165.965924715274,0.21723276376724243,0.0,164.22398376464844,0.054279956966638565,0.3310631513595581
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489303947405.jpg,165.87681466946378,0.20393401384353638,0.0,164.22227478027344,0.048446450382471085,0.2802189886569977
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489309397405.jpg,165.73201481625438,0.21498051285743713,0.0,163.95970153808594,0.04750257730484009,0.4021950662136078
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489311897405.jpg,165.55958440282848,0.21986795961856842,0.0,163.8166046142578,0.045591089874506,0.34430089592933655
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489298547405.jpg,165.30202527018264,0.2023266851902008,0.0,163.6121826171875,0.0447416752576828,0.32097378373146057
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489310947405.jpg,165.16207957279403,0.19798137247562408,0.0,163.49754333496094,0.056989219039678574,0.28867459297180176
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657127647405.jpg,164.88123428396648,0.08451493084430695,0.0,163.95819091796875,0.0023409484419971704,0.05675001069903374
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489313397405.jpg,164.77624302264303,0.19035552442073822,0.0,163.10447692871094,0.04092983901500702,0.33795151114463806
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489307447408.jpg,164.38343082973734,0.19360825419425964,0.0,162.6721954345703,0.04294769838452339,0.35492366552352905
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489312397405.jpg,164.18563971668482,0.19905740022659302,0.0,162.53152465820312,0.04464900121092796,0.29959315061569214
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489297047405.jpg,164.12063124787528,0.19230566918849945,0.0,162.410888671875,0.04823822155594826,0.35654401779174805
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489303047405.jpg,163.7681274242932,0.18008174002170563,0.0,162.13807678222656,0.04725624993443489,0.27529144287109375
n008-2018-08-28-16-43-51-0400__CAM_BACK_LEFT__1535489301047405.jpg,163.25175919022877,0.20614299178123474,0.0,161.53802490234375,0.040017019957304,0.3605058789253235
